dosf_lt,auh_freq,dosf_lt_manual,dosf_lt_en
"spot-on, oplÃ¸sning",114,"spot-on, opløsning",spot-on solution
liniment,114,liniment,liniment
"injektionsvÃ¦ske, oplÃ¸sning, fyldt pen",112,"injektionsvæske, opløsning, fyldt pen","solution for injection, prefilled pen"
oralt pulver,110,oralt pulver,oral powder
oplÃ¸sning til priktest (Soluprick),106,opløsning til priktest (Soluprick),solution to prick test (Soluprick)
"inhalationsspray, suspension",96,"inhalationsspray, suspension","pressurized inhalation, suspension"
oplÃ¸sning,94,opløsning,solution
"pulver og solvens til injektionsvÃ¦ske, suspension",90,"pulver og solvens til injektionsvæske, suspension",powder and solvent for suspension for injection
skyllevÃ¦ske,88,skyllevæske,scavenger
"resoribletter, sublinguale",88,"resoribletter, sublinguale",sublingual tablets
sugetabletter,85,sugetabletter,lozenges
infusionskoncentrat,84,infusionskoncentrat,infusion
"medicinsk gas, komprimeret",84,"medicinsk gas, komprimeret","medical gas, compressed"
granulat,81,granulat,granulate
"kapsler med modificeret udlÃ¸sning, hÃ¥rde",80,"kapsler med modificeret udløsning, hårde","modified release capsule, hard"
inhalationspulver i kapsler,79,inhalationspulver i kapsler,inhalation capsules
tabletter med modificeret udlÃ¸sning,76,tabletter med modificeret udløsning,modified-release tablets
"nÃ¦sespray, suspension",75,radiofarmaceutisk præparationssæt til infusion,radiopharmaceutical preparations for infusion
"Ã¸jendrÃ¥ber, suspension",74,"øjendråber, suspension","eye drops, suspension"
oplÃ¸selige tabletter,73,opløselige tabletter,soluble tablets
"injektionsvÃ¦ske, emulsion",73,"injektionsvæske, emulsion",emulsion for injection
pulver til oplÃ¸sning i drikkevand,70,pulver til opløsning i drikkevand,powder for solution in drinking water
pulver til oral oplÃ¸sning,66,pulver til oral opløsning,powder for oral solution
injektionsvÃ¦ske (vaccine),65,injektionsvæske (vaccine),injection (vaccine)
oral pasta,64,oral pasta,oral paste
drÃ¥ber,64,dråber,drops
inhalationsaerosol,64,inhalationsaerosol,inhalation aerosol
intramammÃ¦r suspension,59,intramammær suspension,intramammary suspension
inhalationsvÃ¦ske,59,inhalationsvæske,inhalation
infusionssubstans,54,infusionssubstans,infusionssubstans
"pulver til koncentrat til infusionsvÃ¦ske, oplÃ¸sning",53,"pulver til koncentrat til infusionsvæske, opløsning",powder for concentrate for solution for infusion
enterokapsler,53,enterokapsler,capsules
afdelte pulvere,51,afdelte pulvere,divisional powders
"inhalationspulver, afdelt",50,"inhalationspulver, afdelt","inhalation powder, pre-"
klysma,50,klysma,enema
"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",47,"øjendråber, opløsning, enkeltdosisbeholder","eye drops solution, single dose container"
drageer,47,drageer,dragees
"pulver og solvens til infusionsvÃ¦ske, oplÃ¸sning",45,"pulver og solvens til infusionsvæske, opløsning",powder and solvent for solution for infusion
nÃ¦sespray,45,næsespray,nasal spray
injektions-/infusionsvÃ¦ske,45,injektions-/infusionsvæske,injection / infusion
premix,44,premix,premix
"orale drÃ¥ber, oplÃ¸sning",44,"orale dråber, opløsning",oral solution
"depotinjektionsvÃ¦ske, pulver og solvens til suspension",43,"depotinjektionsvæske, pulver og solvens til suspension",depot injection powder and solvent for suspension
pulver,42,pulver,powder
lancet,41,lancet,lancet
pulver til oral suspension,40,pulver til oral suspension,powder for oral suspension
medicinsk gas,40,medicinsk gas,medical gas
implantat,39,implantat,implant
"lyofilisat og solvens til injektionsvÃ¦ske, suspension",38,"lyofilisat og solvens til injektionsvæske, suspension",lyophilisate and solvent for suspension for injection
shampoo,38,shampoo,shampoo
Ã¸jensalve,38,øjensalve,eye ointment
vagitorier,37,vagitorier,pessaries
"pulver, oplÃ¸seligt",37,"pulver, opløseligt","powders, soluble"
solvens til parenteral anvendelse,37,solvens til parenteral anvendelse,solvent for parenteral use
"injektionsvÃ¦ske, suspension, fyldt injektionssprÃ¸jte",36,"injektionsvæske, suspension, fyldt injektionssprøjte","suspension for injection, pre-filled syringe"
"peritonealdialysevÃ¦ske, to-kammer system",35,"peritonealdialysevæske, to-kammer system","peritoneal dialysis, two-chamber system"
intramammÃ¦r salve,34,intramammær salve,intramammary ointment
oplÃ¸sning til priktest,33,opløsning til priktest,solution for skin prick test
"pour-on, oplÃ¸sning",33,"pour-on, opløsning",pour-on solution
intrauterint pessar,33,intrauterint pessar,intrauterine pessary
pudder,33,pudder,powder
oplÃ¸sning til desinfektion,33,opløsning til desinfektion,solution for disinfection
granulat til oral suspension,33,granulat til oral suspension,granules for oral suspension
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",32,"pulver og solvens til injektionsvæske, opløsning, fyldt injektionssprøjte","powder and solvent for solution for injection, pre-filled syringe"
resoribletter,31,resoribletter,tablets
"injektions-/infusionsvÃ¦ske, emulsion",29,"injektions-/infusionsvæske, emulsion",injection / infusion emulsion
"inhalationspulver, hÃ¥rd kapsel",29,"inhalationspulver, hård kapsel","inhalation powder, hard capsule"
"nÃ¦sedrÃ¥ber, oplÃ¸sning",28,"næsedråber, opløsning","nasal drops, solution"
"rektalvÃ¦ske, oplÃ¸sning",27,"rektalvæske, opløsning",rectal solution
"pulver og solvens til injektions- og infusionsvÃ¦ske, oplÃ¸sning",27,"pulver og solvens til injektions- og infusionsvæske, opløsning",powder and solvent for solution for injection or infusion
injektionssubstans med albumin-diluent,27,injektionssubstans med albumin-diluent,powder for injection with the albumin diluent
premix til foderlÃ¦gemiddel,27,premix til foderlægemiddel,premix for medicated feed
granulat til mikstur,26,granulat til mikstur,granules for oral
vÃ¦ske til inhalationsdamp,26,væske til inhalationsdamp,liquid Inhalation
saft,26,saft,juice
"inhalationsspray, oplÃ¸sning",26,"inhalationsspray, opløsning",inhalation solution
oplÃ¸sning til priktest (Soluprick-SQ),25,opløsning til priktest (Soluprick-SQ),solution for skin prick test (Soluprick-SQ)
frysetÃ¸rret tablet,25,frysetørret tablet,freeze-dried tablet
injektionssubstans med glycerol-diluent,25,injektionssubstans med glycerol-diluent,powder for injection with glycerol diluent
vaginaltabletter,24,vaginaltabletter,vaginal tablets
"pulver og solvens til depotinjektionsvÃ¦ske, suspension",24,"pulver og solvens til depotinjektionsvæske, suspension",powder and solvent for prolonged release suspension for injection
lyofilisat til suspension,23,lyofilisat til suspension,lyophilisate for suspension
"injektionsvÃ¦ske, oplÃ¸sning, cylinderampul",23,"injektionsvæske, opløsning, cylinderampul","injection, cartridge"
vaginalcreme,23,vaginalcreme,vaginal cream
konc.t.inf.vÃ¦sk.opl.,22,konc.t.inf.væsk.opl.,konc.t.inf.væsk.opl.
"inhalationsvÃ¦ske til nebulisator, oplÃ¸sning",22,"inhalationsvæske til nebulisator, opløsning",nebuliser solution
"injektionsvÃ¦ske, suspension, fyldt pen",22,"injektionsvæske, suspension, fyldt pen","suspension for injection, pre-filled pen"
oplÃ¸sning til blodstabilisering,21,opløsning til blodstabilisering,solution to the stabilization of blood
"depotinjektionsvÃ¦ske, suspension",21,"depotinjektionsvæske, suspension",prolonged release suspension for injection
depottabletter (duretter),21,depottabletter (duretter),release tablets (duretter)
Ã¸redrÃ¥ber,21,øredråber,ear drops
nÃ¦sedrÃ¥ber,21,næsedråber,nasal drops
injektions- og infusionssubstans,20,injektions- og infusionssubstans,injection and infusionssubstans
oral gel,20,oral gel,oral gel
"kutanspray, oplÃ¸sning",20,"kutanspray, opløsning","cutaneous spray, solution"
"rektalvÃ¦ske, oplÃ¸sning, enkeltdosisbeholder",20,"rektalvæske, opløsning, enkeltdosisbeholder",rectal solution in single-dose container
spot-on,19,spot-on,spot-on
pasta,19,pasta,assert
syrup,18,syrup,syrup
kutanemulsion,18,kutanemulsion,kutanemulsion
"uteritorier, tabletter",17,"uteritorier, tabletter","uteritorier, tablets"
"injektionsvÃ¦ske/konc. til infusionsvÃ¦ske, oplÃ¸sning",17,"injektionsvæske/konc. til infusionsvæske, opløsning",injection / conc. for solution for infusion
injektionssubstans med depot-diluent,17,injektionssubstans med depot-diluent,powder for injection of depot-diluent
afdelte granulater,17,afdelte granulater,divisional granules
fedtcreme,17,fedtcreme,fat cream
granulat til oral oplÃ¸sning,17,granulat til oral opløsning,granules for oral solution
injektionssubstans og solvens,16,injektionssubstans og solvens,powder for injection and solvent
"pulver til injektionsvÃ¦ske, suspension",16,"pulver til injektionsvæske, suspension",powder for suspension for injection
oplÃ¸snings- og fortyndingsvÃ¦ske,16,opløsnings- og fortyndingsvæske,solvents and diluent
medicinsk plaster,16,medicinsk plaster,medicated plaster
"medicinsk gas, flydende",16,"medicinsk gas, flydende","medical gas, liquid"
"pulver, vandoplÃ¸seligt",16,"pulver, vandopløseligt","powder, water-soluble"
"pulver til oral oplÃ¸sning, enkeltdosisbeholder",16,"pulver til oral opløsning, enkeltdosisbeholder","powder for oral solution, single dose container"
intramammarier,16,intramammarier,intra mammary arteries
vÃ¦vsklÃ¦ber,15,vævsklæber,tissue adhesive
hÃ¦modialysekoncentrat,15,hæmodialysekoncentrat,hæmodialysekoncentrat
Ã¸jengel,15,øjengel,eye gel
"pulver til koncentrat til injektions- og infusionsvÃ¦ske, oplÃ¸sning",15,"pulver til koncentrat til injektions- og infusionsvæske, opløsning",powder for concentrate for solution for infusion
imprÃ¦gneret gaze,15,imprægneret gaze,impregnated gauze
kontinuert intraruminalt indlÃ¦g,15,kontinuert intraruminalt indlæg,continuous intraruminal posts
injektionssubstans + injektionsvÃ¦ske (vaccine),15,injektionssubstans + injektionsvæske (vaccine),powder for injection + injection (vaccine)
pulver til mikstur,14,pulver til mikstur,powder for oral
"inhalationsvÃ¦ske til nebulisator, suspension",14,"inhalationsvæske til nebulisator, suspension",nebuliser suspension
uretralstift,14,uretralstift,uretralstift
"Ã¸redrÃ¥ber, suspension",13,"øredråber, suspension",ear drops suspension
infusionsvÃ¦ske i viaflexbeholder,13,infusionsvæske i viaflexbeholder,infusion in viaflexbeholder
bolus,13,bolus,bolus
"inhalationsvÃ¦ske til nebulisator, oplÃ¸sning, enkeltdosisbeholder",13,"inhalationsvæske til nebulisator, opløsning, enkeltdosisbeholder","nebuliser solution, single-dose container"
"rektalvÃ¦ske, suspension, enkeltdosisbeholder",12,"rektalvæske, suspension, enkeltdosisbeholder","rectal suspension, single-dose container"
periodevis intraruminalt indlÃ¦g,12,periodevis intraruminalt indlæg,periodically intraruminal posts
injektionsvÃ¦ske olieoplÃ¸sning,12,injektionsvæske olieopløsning,injection oil solution
"pulver, uoplÃ¸seligt",11,"pulver, uopløseligt","powder, insoluble"
intrauterint indlÃ¦g,11,intrauterint indlæg,IUS
"pulver og solvens til injektionsvÃ¦ske, suspension, fyldt injektionssprÃ¸jte",11,"pulver og solvens til injektionsvæske, suspension, fyldt injektionssprøjte","powder and solvent for suspension for injection, pre-filled syringe"
"pulver til oral suspension, enkeltdosisbeholder",11,"pulver til oral suspension, enkeltdosisbeholder","powder for oral suspension, single-dose container"
koncentrat til kutanoplÃ¸sning,11,koncentrat til kutanopløsning,concentrate for cutaneous solution
"injektions-/infusionsvÃ¦ske, oplÃ¸sning, flerdosisbeholder",11,"injektions-/infusionsvæske, opløsning, flerdosisbeholder","injection / infusion, multidose container"
pulver til injektionsvÃ¦ske,11,pulver til injektionsvæske,powder for injection
medicinsk neglelak,11,medicinsk neglelak,medical nail polish
vaginalindlÃ¦g,11,vaginalindlæg,vaginal delivery
granulat til anvendelse i drikkevand,11,granulat til anvendelse i drikkevand,granules for use in drinking water
rektalskum,10,rektalskum,rectal
oplÃ¸sning til intraokulÃ¦r anvendelse,10,opløsning til intraokulær anvendelse,solution for intraocular use
intramammÃ¦r emulsion,10,intramammær emulsion,intramammary emulsion
"kutanspray, suspension",10,"kutanspray, suspension","cutaneous spray, suspension"
vaginalgel,10,vaginalgel,vaginal
nÃ¦sepudder,10,næsepudder,nasal powder
uretral gel,10,uretral gel,urethral gel
bukkaltabletter,10,bukkaltabletter,buccal tablets
"medicinsk gas, kryogen",10,"medicinsk gas, kryogen","medical gas, cryogenic"
mundskyllevÃ¦ske,9,mundskyllevæske,Mouthwash
hÃ¦mofiltreringsvÃ¦ske,9,hæmofiltreringsvæske,haemofiltration
injektionssubstans (aquagen-sq),9,injektionssubstans (aquagen-sq),powder for injection (Aquagen-sq)
"mundhulespray, oplÃ¸sning",9,"mundhulespray, opløsning",oromucosal spray solution
pulver til brug i drikkevand eller spray,9,pulver til brug i drikkevand eller spray,powder for use in drinking water or spray
pulver til koncentrat til infusionsvÃ¦ske,9,pulver til koncentrat til infusionsvæske,powder for concentrate for solution for infusion
piller,9,piller,pills
nÃ¦seaerosol,9,næseaerosol,næseaerosol
solubletter,9,solubletter,solubletter
gazebind,8,gazebind,roll bandages
"koncentrat og solvens til infusionsvÃ¦ske, oplÃ¸sning",8,"koncentrat og solvens til infusionsvæske, opløsning",concentrate and solvent for solution for infusion
"injektionsvÃ¦ske, oplÃ¸sning, flerdosispen",8,"injektionsvæske, opløsning, flerdosispen","solution for injection, multidose"
pulver til anvendelse i drikkevand,8,pulver til anvendelse i drikkevand,powder for use in drinking water
intraruminalt indlÃ¦g,8,intraruminalt indlæg,intraruminal posts
Ã¸jen- og Ã¸redrÃ¥ber,8,øjen- og øredråber,eye and ear drops
pulver til brug i drikkevand (vaccine),8,pulver til brug i drikkevand (vaccine),powder for use in drinking water (vaccine)
sprit,8,sprit,alcohol
injektionsprÃ¦parat,8,injektionspræparat,injection preparation
"inhalationsvÃ¦ske, oplÃ¸sning",8,"inhalationsvæske, opløsning",inhalation solution
rektalcreme,8,rektalcreme,rektalcreme
"injektionsvÃ¦ske, suspension, cylinderampul",8,"injektionsvæske, suspension, cylinderampul","suspension for injection, cartridge"
enterogranulat,8,enterogranulat,enteric
"pulver til implantation, suspension",8,"pulver til implantation, suspension",powder for suspension for implantation
bukkalfilm,8,bukkalfilm,bukkalfilm
"granulat til orale drÃ¥ber, oplÃ¸sning",8,"granulat til orale dråber, opløsning",granules for oral solution
"pulver til oral suspension/rektalvÃ¦ske, suspension",8,"pulver til oral suspension/rektalvæske, suspension",powder for oral suspension / rectal suspension
"hÃ¦mofiltreringsvÃ¦ske, hÃ¦modialysevÃ¦ske til kontinuerlig hÃ¦modialyse",8,"hæmofiltreringsvæske, hæmodialysevæske til kontinuerlig hæmodialyse","haemofiltration, hemodialysis for continuous hemodialysis"
plaster til provokationstest,7,plaster til provokationstest,patch for provocation test
gelatinesvamp,7,gelatinesvamp,gelatin sponge
dentalsuspension,7,dentalsuspension,dental suspension
rektalsalve,7,rektalsalve,Rectal
sublingualspray,7,sublingualspray,sublingual
"Ã¸redrÃ¥ber, suspension og kutansuspension",7,"øredråber, suspension og kutansuspension",ear drops suspension and kutansuspension
kutanpasta,7,kutanpasta,kutanpasta
knoglecement,7,knoglecement,bone cement
dentalgel,7,dentalgel,dental gel
"pulver og solvens til koncentrat til infusionsvÃ¦ske, oplÃ¸sning",7,"pulver og solvens til koncentrat til infusionsvæske, opløsning",powder and solvent for concentrate for solution for infusion
"injektionsvÃ¦ske, suspension, hÃ¦tteglas",7,"injektionsvæske, suspension, hætteglas","suspension for injection, vials"
kÃ¦de til implantation,7,kæde til implantation,chain for implantation
oplÃ¸sning til pensling,7,opløsning til pensling,solution for brushing
"injektionsvÃ¦ske, oplÃ¸sning, enkeltdosisbeholder, i.v.",7,"injektionsvæske, opløsning, enkeltdosisbeholder, i.v.","solution for injection, single dose container, i.v."
oplÃ¸sning til anvendelse i drikkevand,6,opløsning til anvendelse i drikkevand,solution for use in drinking water
"injektionsvÃ¦ske, suspension, i.m.",6,"injektionsvæske, suspension, i.m.","suspension for injection, IM"
"mikstur, suspension",6,"mikstur, suspension",oral suspension
"mikstur, enkeltdosisbeholder",6,"mikstur, enkeltdosisbeholder",oral single-dose container
"endotracheopulmonal instillationsvÃ¦ske, suspension",6,"endotracheopulmonal instillationsvæske, suspension","endotracheopulmonal instillation, suspension"
VÃ¦vsklÃ¦bermatrix,6,Vævsklæbermatrix,Vævsklæbermatrix
brusegranulat,6,brusegranulat,effervescent granules
depotÃ¸jendrÃ¥ber,6,depotøjendråber,prolonged-release eye-drops
oral emulsion,6,oral emulsion,oral emulsion
inhalationsdamp,6,inhalationsdamp,Inhalation
kutanspray,6,kutanspray,cutaneous spray
"koncentrat til injektions- og infusionsvÃ¦ske, oplÃ¸sning",6,"koncentrat til injektions- og infusionsvæske, opløsning",concentrate for solution for infusion
"Ã¸jengel, enkeltdosisbeholder",6,"øjengel, enkeltdosisbeholder","eye gel, single-dose container"
"injektionsvÃ¦ske, oplÃ¸sning, i.v.",6,"injektionsvæske, opløsning, i.v.","injection, i.v."
stift,6,stift,pin
oral suspension til brug i drikkevand,6,oral suspension til brug i drikkevand,oral suspension for use in drinking water
infusions-injektionssÃ¦t,6,infusions-injektionssæt,infusion venipuncture
"Ã¸jendrÃ¥ber, enkeltdosisbeholder",6,"øjendråber, enkeltdosisbeholder","eye drops, single-dose container"
vaginaltabletter og creme,6,vaginaltabletter og creme,vaginal tablets and cream
gel til overfladeanalgesi,6,gel til overfladeanalgesi,gel for overfladeanalgesi
oral suspension til brug i drikkevand og koncentrat til spray suspension,6,oral suspension til brug i drikkevand og koncentrat til spray suspension,oral suspension for use in drinking water and concentrate for spray suspension
infusionsvÃ¦ske i excel,6,infusionsvæske i excel,infusion in excel
kutan vÃ¦ske,6,kutan væske,cutaneous liquid
Ã¸jenbadevand,5,øjenbadevand,collyrium
kutanskum,5,kutanskum,kutanskum
rektalvÃ¦ske,5,rektalvæske,rectal
"koncentrat til injektionsvÃ¦ske, oplÃ¸sning",5,"koncentrat til injektionsvæske, opløsning",concentrate for solution for injection
"oralt pulver, enkeltdosisbeholder",5,"oralt pulver, enkeltdosisbeholder","oral powder, single-dose container"
"depotgranulat til oral suspension, enkeltdosisbeholder",5,"depotgranulat til oral suspension, enkeltdosisbeholder","prolonged-release granules for oral suspension, single-dose container"
"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning i fyldt pen",5,"pulver og solvens til injektionsvæske, opløsning i fyldt pen",powder and solvent for solution for injection in pre-filled pen
koncentrat til oral oplÃ¸sning til brug i drikkevand,5,koncentrat til oral opløsning til brug i drikkevand,concentrate for oral solution for use in drinking water
"injektionsvÃ¦ske, oplÃ¸sning, enkeltdosisbeholder",5,"injektionsvæske, opløsning, enkeltdosisbeholder","solution for injection, single dose container"
Ã¸jenlamel,5,øjenlamel,øjenlamel
"Ã¸redrÃ¥ber, oplÃ¸sning",5,"øredråber, opløsning","ear drops, solution"
"lyofilisat og solvens til injektionsvÃ¦ske, oplÃ¸sning, cylinderampul",5,"lyofilisat og solvens til injektionsvæske, opløsning, cylinderampul","Lyophilisate and solvent for solution for injection, cartridge"
filmovertrukne depottabletter,5,filmovertrukne depottabletter,film-coated extended release tablets
oral oplÃ¸sning til brug i drikkevand,5,oral opløsning til brug i drikkevand,oral solution for use in drinking water
"inhalationsspray, emulsion",5,"inhalationsspray, emulsion",Inhaler Emulsion
"depotgranulat, enkeltdosisbeholder",5,"depotgranulat, enkeltdosisbeholder","prolonged-release granules, single-dose container"
medicinsk svamp,5,medicinsk svamp,medical sponge
intramammÃ¦r oplÃ¸sning,5,intramammær opløsning,intramammary solution
"mundhulevÃ¦ske, oplÃ¸sning",4,"mundhulevæske, opløsning",oromucosal solution
enterogranulat til oral suspension,4,enterogranulat til oral suspension,gastro-resistant granules for oral suspension
pour-on,4,pour-on,pour-on
injektionssubstans (vaccine),4,injektionssubstans (vaccine),powder for injection (vaccine)
"injektionsvÃ¦ske, oplÃ¸sning, hÃ¦tteglas",4,"injektionsvæske, opløsning, hætteglas","solution for injection, vials"
depotbolus,4,depotbolus,depotbolus
uteritorier,4,uteritorier,uteritorier
sterilt vand,4,sterilt vand,sterile water
mundhulegel,4,mundhulegel,mundhulegel
"injektionsvÃ¦ske, suspension, enkeltdosisbeholder",4,"injektionsvæske, suspension, enkeltdosisbeholder","suspension for injection, single dose container"
"pulver til oplÃ¸sning, vaccine",4,"pulver til opløsning, vaccine","powder for solution, Vaccine"
"injektionsvÃ¦ske, i.m.",4,"injektionsvæske, i.m.",injection i.m.
suspension,4,suspension,suspension
enterodepottabletter,4,enterodepottabletter,enterodepottabletter
inhalator,4,inhalator,inhalator
"oral suspension og rektalvÃ¦ske, suspension",4,"oral suspension og rektalvæske, suspension","rectal and oral suspension, suspension"
"koncentrat og solvens til injektionsvÃ¦ske, oplÃ¸sning",4,"koncentrat og solvens til injektionsvæske, opløsning",concentrate and solvent for solution for injection
kutansuspension,4,kutansuspension,kutansuspension
gel til desinfektion,4,gel til desinfektion,gel for disinfection
"pulver til injektionsvÃ¦ske, oplÃ¸sning/suspension",4,"pulver til injektionsvæske, opløsning/suspension",powder for solution for injection / suspension
"kutanspray, pulver",4,"kutanspray, pulver","cutaneous spray, powder"
nÃ¦sesalve,4,næsesalve,nasal ointment
depotresoribletter,4,depotresoribletter,depotresoribletter
halsbÃ¥nd,4,halsbånd,collars
vaginalkapsler,4,vaginalkapsler,vaginalkapsler
injektionsvÃ¦ske (serum),4,injektionsvæske (serum),injection (serum)
"rektalvÃ¦ske, suspension",4,"rektalvæske, suspension",rectal suspension
"vaginalkapsler, blÃ¸de",4,"vaginalkapsler, bløde","vaginalkapsler, soft"
"nÃ¦sedrÃ¥ber, suspension",4,"næsedråber, suspension","nose drops, suspension"
spot-on oplÃ¸sning,4,spot-on opløsning,spot-on solution
"pulver og solvens til nÃ¦sedrÃ¥ber, suspension",4,"pulver og solvens til næsedråber, suspension","powder and solvent for nose drops, suspension"
"pulver, enkeltdosisbeholder",4,"pulver, enkeltdosisbeholder","powder, single-dose container"
injektionssubstans + solvens,4,injektionssubstans + solvens,powder for injection + solvent
"pulver og solvens til Ã¸jendrÃ¥ber, oplÃ¸sning",4,"pulver og solvens til øjendråber, opløsning",powder and solvent for eye drops solution
koncentrat til oral oplÃ¸sning,4,koncentrat til oral opløsning,Oral Concentrate
depotgranulat,4,depotgranulat,depot granulate
lyofilisat og solvens til oral suspension,3,lyofilisat og solvens til oral suspension,lyophilisate and solvent for oral suspension
koncentrat til vaccination,3,koncentrat til vaccination,concentrate for vaccination
lyofilisat til anvendelse i drikkevand,3,lyofilisat til anvendelse i drikkevand,lyophilisate for use in drinking water
pulver til blÃ¦reskyllevÃ¦ske,3,pulver til blæreskyllevæske,powder bladder irrigation fluid
anÃ¦stesivÃ¦ske,3,anæstesivæske,anesthesia fluid
"lyofilisat og solvens til injektionsvÃ¦ske, oplÃ¸sning",3,"lyofilisat og solvens til injektionsvæske, opløsning",Lyophilisate and solvent for solution for injection
diverse former,3,diverse former,various forms
"injektions-/infusions-/rektalvÃ¦ske, oplÃ¸sning",3,"injektions-/infusions-/rektalvæske, opløsning",injection / infusion / rectal solution
koncentrat,3,koncentrat,concentrate
pulver til koncentrat og oplÃ¸sningsvÃ¦ske til infusionsvÃ¦ske,3,pulver til koncentrat og opløsningsvæske til infusionsvæske,powder for concentrate and diluent for solution for infusion
"pulver til oral oplÃ¸sning, breve",3,"pulver til oral opløsning, breve","powder for oral solution, letters"
"pulver til rektalvÃ¦ske, suspension",3,"pulver til rektalvæske, suspension",Powder for rectal suspension
pulver til infusionsvÃ¦ske,3,pulver til infusionsvæske,powder for infusion
tandpasta,3,tandpasta,toothpaste
enteralgel,3,enteralgel,enteralgel
"koncentrat og solvens til injektionsvÃ¦ske, suspension",3,"koncentrat og solvens til injektionsvæske, suspension",concentrate and solvent for suspension for injection
"granulat til oral suspension, enkeltdosisbeholder",3,"granulat til oral suspension, enkeltdosisbeholder","granules for oral suspension, single-dose container"
oplÃ¸sning til anvendelse pÃ¥ huden,3,opløsning til anvendelse på huden,solution for application to the skin
hÃ¦modialysesubstans,3,hæmodialysesubstans,hæmodialysesubstans
kapsler med modificeret udlÃ¸sning,3,kapsler med modificeret udløsning,modified release capsule
orale drÃ¥ber,3,orale dråber,oral drops
"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte, enkeltdosisbeholder, i.v.",3,"injektionsvæske, opløsning, fyldt injektionssprøjte, enkeltdosisbeholder, i.v.","solution for injection, pre-filled syringe, single-dose container, i.v."
"lyofilisat til injektionsvÃ¦ske, suspension",3,"lyofilisat til injektionsvæske, suspension",lyophilisate for suspension for injection
"injektionsvÃ¦ske, Alutard-sq",3,"injektionsvæske, Alutard-sq",injection Alutard-sq
solvens,3,solvens,solvency
"lyofilisat til Ã¸jen- og nÃ¦sedrÃ¥ber, suspension",3,"lyofilisat til øjen- og næsedråber, suspension","lyophilisate for eye and nose drops, suspension"
"koncentrat til infusionsvÃ¦ske, emulsion",3,"koncentrat til infusionsvæske, emulsion",concentrate for infusion emulsion
imprÃ¦gneret trÃ¥d,3,imprægneret tråd,impregnated thread
